project,data_set,site,station,recording_date,recording_time,status,latitude,longitude,is_buffered_location,species_code,scientific_name,species_english_name,method,rain,wind,noise,industry_noise,audio_quality,species_individual_name,T_Id,transcriber,abundance,confidence,min0_voc,min0_start,min1_voc,min1_start,min2_voc,min2_start,min3_voc,min3_start,min4_voc,min4_start,min5_voc,min5_start,min6_voc,min6_start,min7_voc,min7_start,min8_voc,min8_start,min9_voc,min9_start,comment,species_comment
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,6/30/2019,4:00:00,Transcribed,,,t,PAWR,Troglodytes pacificus,Pacific Wren,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,59.8,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,6/30/2019,4:00:00,Transcribed,,,t,YRWA,Setophaga coronata,Yellow-rumped Warbler,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,26.1,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/6/2019,6:45:00,Transcribed,,,t,ATSP,Spizelloides arborea,American Tree Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,21,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/6/2019,6:45:00,Transcribed,,,t,GCSP,Zonotrichia atricapilla,Golden-crowned Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,Song,20.7,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/6/2019,6:45:00,Transcribed,,,t,GCSP,Zonotrichia atricapilla,Golden-crowned Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,2,1,jf_jet@hotmail.com,ONE,Confident,,,Song,56.2,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/6/2019,6:45:00,Transcribed,,,t,HETH,Catharus guttatus,Hermit Thrush,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,24.3,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/6/2019,6:45:00,Transcribed,,,t,PAWR,Troglodytes pacificus,Pacific Wren,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,5.6,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/6/2019,6:45:00,Transcribed,,,t,SAVS,Passerculus sandwichensis,Savannah Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,4,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/6/2019,6:45:00,Transcribed,,,t,YRWA,Setophaga coronata,Yellow-rumped Warbler,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,28.3,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/6/2019,6:45:00,Transcribed,,,t,YRWA,Setophaga coronata,Yellow-rumped Warbler,3m 1SPR,0,0,0,0,No audio quality issues,2,1,jf_jet@hotmail.com,ONE,Confident,,,,,Song,17.9,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/10/2019,4:45:00,Transcribed,,,t,ATSP,Spizelloides arborea,American Tree Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,43.7,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/10/2019,4:45:00,Transcribed,,,t,DEJU,Junco hyemalis,Dark-eyed Junco,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,0,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/10/2019,4:45:00,Transcribed,,,t,GCSP,Zonotrichia atricapilla,Golden-crowned Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,42.5,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/10/2019,4:45:00,Transcribed,,,t,OSFL,Contopus cooperi,Olive-sided Flycatcher,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,,,Song,33,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/10/2019,4:45:00,Transcribed,,,t,SAVS,Passerculus sandwichensis,Savannah Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,4.2,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/10/2019,4:45:00,Transcribed,,,t,UNSP, ,Unknown Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Unknown far,Song,18.2,,,,,,,,,,,,,,,,,,,,CHSP/DEJU
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/10/2019,4:45:00,Transcribed,,,t,YRWA,Setophaga coronata,Yellow-rumped Warbler,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,4.6,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/25/2019,3:45:00,Transcribed,,,t,LIWI, ,Light wind,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,Non-vocal,53.1,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,7/27/2019,3:45:00,Transcribed,,,t,LIAI, ,Light aircraft,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Non-vocal,0.1,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,8/4/2019,7:00:00,Transcribed,,,t,GCSP,Zonotrichia atricapilla,Golden-crowned Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Call,0.2,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,8/4/2019,7:00:00,Transcribed,,,t,UNKN, ,Unknown,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Unknown far,,,,,Call,31.7,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,8/4/2019,7:00:00,Transcribed,,,t,YRWA,Setophaga coronata,Yellow-rumped Warbler,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Call,50.5,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,8/5/2019,5:30:00,Transcribed,,,t,LIWI, ,Light wind,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Non-vocal,57.8,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,8/5/2019,5:30:00,Transcribed,,,t,UNPA, ,Unknown Passerine,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Unknown far,Call,16.6,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,8/5/2019,5:30:00,Transcribed,,,t,UNPA, ,Unknown Passerine,3m 1SPR,0,0,0,0,No audio quality issues,2,1,jf_jet@hotmail.com,ONE,Unknown far,Call,47.7,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,8/5/2019,5:30:00,Transcribed,,,t,UNTR, ,Unknown Trill,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Unknown far,Song,4.7,,,,,,,,,,,,,,,,,,,,DEJU?
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A4,7/25/2019,7:00:00,Transcribed,,,t,NONE,,,3m 1SPR,0,0,0,0,No audio quality issues,,1,jf_jet@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A4,7/27/2019,8:00:00,Transcribed,,,t,AMPI,Anthus rubescens,American Pipit,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Call,59.6,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A4,7/31/2019,4:00:00,Transcribed,,,t,WIPT,Lagopus lagopus,Willow Ptarmigan,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,Song,40.5,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A4,8/1/2019,7:00:00,Transcribed,,,t,UNPA, ,Unknown Passerine,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Unknown far,,,Call,55.7,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A6,7/2/2019,6:15:00,Transcribed,,,t,AMPI,Anthus rubescens,American Pipit,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,Call,22.2,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A6,7/2/2019,6:15:00,Transcribed,,,t,CORE,Acanthis flammea,Common Redpoll,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Call,34.7,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A6,7/2/2019,6:15:00,Transcribed,,,t,GCSP,Zonotrichia atricapilla,Golden-crowned Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,12,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A6,7/2/2019,6:15:00,Transcribed,,,t,HOLA,Eremophila alpestris,Horned Lark,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,0.8,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A6,7/2/2019,6:15:00,Transcribed,,,t,HOLA,Eremophila alpestris,Horned Lark,3m 1SPR,0,0,0,0,No audio quality issues,2,1,jf_jet@hotmail.com,ONE,Confident,,,,,Song,0,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A6,7/9/2019,6:45:00,Transcribed,,,t,NONE,,,3m 1SPR,0,0,0,0,No audio quality issues,,1,jf_jet@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A6,7/29/2019,5:00:00,Bad Weather,,,t,NONE,,,3m 1SPR,,,,,,,1,jf_jet@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A6,8/1/2019,5:15:00,Transcribed,,,t,UNPA, ,Unknown Passerine,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Unknown far,,,Call,41.3,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A6,8/2/2019,6:30:00,Transcribed,,,t,UNPA, ,Unknown Passerine,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Unknown far,Call,0.6,,,,,,,,,,,,,,,,,,,,SAVS?
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A7,6/30/2019,4:30:00,Transcribed,,,t,ROPT,Lagopus muta,Rock Ptarmigan,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Call,37.8,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A7,6/30/2019,4:30:00,Transcribed,,,t,SAVS,Passerculus sandwichensis,Savannah Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,23.2,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A7,6/30/2019,4:30:00,Transcribed,,,t,TOSO,Myadestes townsendi,Townsend's Solitaire,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,Song,6.8,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A7,7/4/2019,5:45:00,Transcribed,,,t,NONE,,,3m 1SPR,0,0,0,0,No audio quality issues,,1,jf_jet@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A7,7/5/2019,5:15:00,Transcribed,,,t,AMPI,Anthus rubescens,American Pipit,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,Song,38.5,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A7,7/5/2019,5:15:00,Transcribed,,,t,HOLA,Eremophila alpestris,Horned Lark,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,21.8,,,,,,,,,,,,,,,,,,,,SAME INDIVIDUAL CALLING AT THE BEGINNING
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A7,7/8/2019,7:00:00,Transcribed,,,t,NONE,,,3m 1SPR,0,0,0,0,No audio quality issues,,1,jf_jet@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A7,7/24/2019,4:45:00,Transcribed,,,t,NONE,,,3m 1SPR,0,0,0,1,No audio quality issues,,1,jf_jet@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A7,7/30/2019,4:15:00,Transcribed,,,t,NONE,,,3m 1SPR,0,0,0,0,No audio quality issues,,1,jf_jet@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A7,8/4/2019,7:30:00,Transcribed,,,t,NONE,,,3m 1SPR,0,0,0,0,No audio quality issues,,1,jf_jet@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/2/2019,5:00:00,Transcribed,,,t,ATSP,Spizelloides arborea,American Tree Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,8.8,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/2/2019,5:00:00,Transcribed,,,t,CHSP,Spizella passerina,Chipping Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,12.4,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/2/2019,5:00:00,Transcribed,,,t,DEJU,Junco hyemalis,Dark-eyed Junco,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,3.3,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/2/2019,5:00:00,Transcribed,,,t,GCTH,Catharus minimus,Gray-cheeked Thrush,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,,,Song,29.1,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/2/2019,5:00:00,Transcribed,,,t,LISP,Melospiza lincolnii,Lincoln's Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,21.5,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/2/2019,5:00:00,Transcribed,,,t,OCWA,Oreothylpis celata,Orange-crowned Warbler,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,,,Song,42.1,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/2/2019,5:00:00,Transcribed,,,t,OSFL,Contopus cooperi,Olive-sided Flycatcher,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,52.2,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/2/2019,5:00:00,Transcribed,,,t,SWTH,Catharus ustulatus,Swainson's Thrush,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,55.5,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/2/2019,5:00:00,Transcribed,,,t,WCSP,Zonotrichia leucophrys,White-crowned Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,26.9,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/2/2019,5:00:00,Transcribed,,,t,WIWA,Cardellina pusilla,Wilson's Warbler,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,44.3,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/2/2019,5:00:00,Transcribed,,,t,YRWA,Setophaga coronata,Yellow-rumped Warbler,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,21.3,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/9/2019,3:45:00,Transcribed,,,t,DEJU,Junco hyemalis,Dark-eyed Junco,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,2.6,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/9/2019,3:45:00,Transcribed,,,t,DEJU,Junco hyemalis,Dark-eyed Junco,3m 1SPR,0,0,0,0,No audio quality issues,2,1,jf_jet@hotmail.com,ONE,Confident,,,Song,53.6,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/9/2019,3:45:00,Transcribed,,,t,GCTH,Catharus minimus,Gray-cheeked Thrush,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,,,Song,42.2,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/9/2019,3:45:00,Transcribed,,,t,LISP,Melospiza lincolnii,Lincoln's Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,14.1,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/9/2019,3:45:00,Transcribed,,,t,UNPA, ,Unknown Passerine,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Unknown far,Song,56.1,,,,,,,,,,,,,,,,,,,,LIKELY PIGR
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/9/2019,3:45:00,Transcribed,,,t,WCSP,Zonotrichia leucophrys,White-crowned Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,5.5,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/10/2019,8:00:00,Transcribed,,,t,DEJU,Junco hyemalis,Dark-eyed Junco,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,,,Song,24.7,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/10/2019,8:00:00,Transcribed,,,t,DEJU,Junco hyemalis,Dark-eyed Junco,3m 1SPR,0,0,0,0,No audio quality issues,2,1,jf_jet@hotmail.com,ONE,Confident,,,,,Call,29.7,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/10/2019,8:00:00,Transcribed,,,t,RCKI,Regulus calendula,Ruby-crowned Kinglet,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,14.2,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/11/2019,7:00:00,Transcribed,,,t,BOCH,Poecile hudsonicus,Boreal Chickadee,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Call,46.1,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/11/2019,7:00:00,Transcribed,,,t,DEJU,Junco hyemalis,Dark-eyed Junco,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,Call,41.1,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/11/2019,7:00:00,Transcribed,,,t,LISP,Melospiza lincolnii,Lincoln's Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,Song,24.2,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/11/2019,7:00:00,Transcribed,,,t,RCKI,Regulus calendula,Ruby-crowned Kinglet,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,51.3,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/11/2019,7:00:00,Transcribed,,,t,UNPA, ,Unknown Passerine,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,TMTC,Unknown far,Call,9.1,,,,,,,,,,,,,,,,,,,,FLEDGLING CALLS/FAMILY GROUP; DEJU? YRWA?
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/11/2019,7:00:00,Transcribed,,,t,YRWA,Setophaga coronata,Yellow-rumped Warbler,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,Call,18.6,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/30/2019,7:15:00,Transcribed,,,t,FOSP,Passerella iliaca,Fox Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,,,Song,17.9,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,S1,7/30/2019,7:15:00,Transcribed,,,t,PISI,Spinus pinus,Pine Siskin,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,,,,,Call,24.5,,,,,,,,,,,,,,,,
