"","location","site","zone","stat_num","recording_date","R_time","species_code","scientific_name","species_english_name","rain","wind","noise","industry_noise","audio_quality","species_individual_name","abundance","min0_voc","min0_start","min1_voc","min1_start","min2_voc","min2_start","min3_voc","min3_start","comment","species_comment","project","data_set","survey_type","surv_key"
"11","CANOL_A2","CANOL","A","2","6/30/2019","04:00:00","PAWR","Troglodytes_pacificus","Pacific Wren",0,0,0,0,"No audio quality issues",1,"ONE","Song",59.8,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_6/30/2019_04:00:00_ARU"
"12","CANOL_A2","CANOL","A","2","6/30/2019","04:00:00","YRWA","Setophaga_coronata","Yellow-rumped Warbler",0,0,0,0,"No audio quality issues",1,"ONE","Song",26.1,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_6/30/2019_04:00:00_ARU"
"13","CANOL_A2","CANOL","A","2","7/6/2019","06:45:00","ATSP","Spizelloides_arborea","American Tree Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",21,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/6/2019_06:45:00_ARU"
"14","CANOL_A2","CANOL","A","2","7/6/2019","06:45:00","GCSP","Zonotrichia_atricapilla","Golden-crowned Sparrow",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,"Song",20.7,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/6/2019_06:45:00_ARU"
"15","CANOL_A2","CANOL","A","2","7/6/2019","06:45:00","GCSP","Zonotrichia_atricapilla","Golden-crowned Sparrow",0,0,0,0,"No audio quality issues",2,"ONE",NA,NA,"Song",56.2,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/6/2019_06:45:00_ARU"
"16","CANOL_A2","CANOL","A","2","7/6/2019","06:45:00","HETH","Catharus_guttatus","Hermit Thrush",0,0,0,0,"No audio quality issues",1,"ONE","Song",24.3,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/6/2019_06:45:00_ARU"
"17","CANOL_A2","CANOL","A","2","7/6/2019","06:45:00","PAWR","Troglodytes_pacificus","Pacific Wren",0,0,0,0,"No audio quality issues",1,"ONE","Song",5.6,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/6/2019_06:45:00_ARU"
"18","CANOL_A2","CANOL","A","2","7/6/2019","06:45:00","SAVS","Passerculus_sandwichensis","Savannah Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",4,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/6/2019_06:45:00_ARU"
"19","CANOL_A2","CANOL","A","2","7/6/2019","06:45:00","YRWA","Setophaga_coronata","Yellow-rumped Warbler",0,0,0,0,"No audio quality issues",1,"ONE","Song",28.3,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/6/2019_06:45:00_ARU"
"20","CANOL_A2","CANOL","A","2","7/6/2019","06:45:00","YRWA","Setophaga_coronata","Yellow-rumped Warbler",0,0,0,0,"No audio quality issues",2,"ONE",NA,NA,NA,NA,"Song",17.9,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/6/2019_06:45:00_ARU"
"21","CANOL_A2","CANOL","A","2","7/10/2019","04:45:00","ATSP","Spizelloides_arborea","American Tree Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",43.7,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/10/2019_04:45:00_ARU"
"22","CANOL_A2","CANOL","A","2","7/10/2019","04:45:00","DEJU","Junco_hyemalis","Dark-eyed Junco",0,0,0,0,"No audio quality issues",1,"ONE","Song",0,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/10/2019_04:45:00_ARU"
"23","CANOL_A2","CANOL","A","2","7/10/2019","04:45:00","GCSP","Zonotrichia_atricapilla","Golden-crowned Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",42.5,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/10/2019_04:45:00_ARU"
"24","CANOL_A2","CANOL","A","2","7/10/2019","04:45:00","OSFL","Contopus_cooperi","Olive-sided Flycatcher",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,NA,NA,"Song",33,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/10/2019_04:45:00_ARU"
"25","CANOL_A2","CANOL","A","2","7/10/2019","04:45:00","SAVS","Passerculus_sandwichensis","Savannah Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",4.2,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/10/2019_04:45:00_ARU"
"26","CANOL_A2","CANOL","A","2","7/10/2019","04:45:00","YRWA","Setophaga_coronata","Yellow-rumped Warbler",0,0,0,0,"No audio quality issues",1,"ONE","Song",4.6,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_7/10/2019_04:45:00_ARU"
"27","CANOL_A2","CANOL","A","2","8/4/2019","07:00:00","GCSP","Zonotrichia_atricapilla","Golden-crowned Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Call",0.2,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_8/4/2019_07:00:00_ARU"
"28","CANOL_A2","CANOL","A","2","8/4/2019","07:00:00","YRWA","Setophaga_coronata","Yellow-rumped Warbler",0,0,0,0,"No audio quality issues",1,"ONE","Call",50.5,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_8/4/2019_07:00:00_ARU"
"29","CANOL_A4","CANOL","A","4","7/27/2019","08:00:00","AMPI","Anthus_rubescens","American Pipit",0,0,0,0,"No audio quality issues",1,"ONE","Call",59.6,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A4_7/27/2019_08:00:00_ARU"
"30","CANOL_A4","CANOL","A","4","7/31/2019","04:00:00","WIPT","Lagopus_lagopus","Willow Ptarmigan",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,"Song",40.5,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A4_7/31/2019_04:00:00_ARU"
"31","CANOL_A6","CANOL","A","6","7/2/2019","06:15:00","AMPI","Anthus_rubescens","American Pipit",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,"Call",22.2,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A6_7/2/2019_06:15:00_ARU"
"32","CANOL_A6","CANOL","A","6","7/2/2019","06:15:00","CORE","Acanthis_flammea","Common Redpoll",0,0,0,0,"No audio quality issues",1,"ONE","Call",34.7,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A6_7/2/2019_06:15:00_ARU"
"33","CANOL_A6","CANOL","A","6","7/2/2019","06:15:00","GCSP","Zonotrichia_atricapilla","Golden-crowned Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",12,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A6_7/2/2019_06:15:00_ARU"
"34","CANOL_A6","CANOL","A","6","7/2/2019","06:15:00","HOLA","Eremophila_alpestris","Horned Lark",0,0,0,0,"No audio quality issues",1,"ONE","Song",0.8,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A6_7/2/2019_06:15:00_ARU"
"35","CANOL_A6","CANOL","A","6","7/2/2019","06:15:00","HOLA","Eremophila_alpestris","Horned Lark",0,0,0,0,"No audio quality issues",2,"ONE",NA,NA,NA,NA,"Song",0,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A6_7/2/2019_06:15:00_ARU"
"36","CANOL_A7","CANOL","A","7","6/30/2019","04:30:00","ROPT","Lagopus_muta","Rock Ptarmigan",0,0,0,0,"No audio quality issues",1,"ONE","Call",37.8,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A7_6/30/2019_04:30:00_ARU"
"37","CANOL_A7","CANOL","A","7","6/30/2019","04:30:00","SAVS","Passerculus_sandwichensis","Savannah Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",23.2,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A7_6/30/2019_04:30:00_ARU"
"38","CANOL_A7","CANOL","A","7","6/30/2019","04:30:00","TOSO","Myadestes_townsendi","Townsend's Solitaire",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,"Song",6.8,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A7_6/30/2019_04:30:00_ARU"
"39","CANOL_A7","CANOL","A","7","7/5/2019","05:15:00","AMPI","Anthus_rubescens","American Pipit",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,"Song",38.5,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A7_7/5/2019_05:15:00_ARU"
"40","CANOL_A7","CANOL","A","7","7/5/2019","05:15:00","HOLA","Eremophila_alpestris","Horned Lark",0,0,0,0,"No audio quality issues",1,"ONE","Song",21.8,NA,NA,NA,NA,NA,NA,NA,"SAME INDIVIDUAL CALLING AT THE BEGINNING","Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A7_7/5/2019_05:15:00_ARU"
"41","CANOL_S1","CANOL","S","1","7/2/2019","05:00:00","ATSP","Spizelloides_arborea","American Tree Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",8.8,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/2/2019_05:00:00_ARU"
"42","CANOL_S1","CANOL","S","1","7/2/2019","05:00:00","CHSP","Spizella_passerina","Chipping Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",12.4,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/2/2019_05:00:00_ARU"
"43","CANOL_S1","CANOL","S","1","7/2/2019","05:00:00","DEJU","Junco_hyemalis","Dark-eyed Junco",0,0,0,0,"No audio quality issues",1,"ONE","Song",3.3,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/2/2019_05:00:00_ARU"
"44","CANOL_S1","CANOL","S","1","7/2/2019","05:00:00","GCTH","Catharus_minimus","Gray-cheeked Thrush",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,NA,NA,"Song",29.1,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/2/2019_05:00:00_ARU"
"45","CANOL_S1","CANOL","S","1","7/2/2019","05:00:00","LISP","Melospiza_lincolnii","Lincoln's Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",21.5,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/2/2019_05:00:00_ARU"
"46","CANOL_S1","CANOL","S","1","7/2/2019","05:00:00","OCWA","Oreothylpis_celata","Orange-crowned Warbler",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,NA,NA,"Song",42.1,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/2/2019_05:00:00_ARU"
"47","CANOL_S1","CANOL","S","1","7/2/2019","05:00:00","OSFL","Contopus_cooperi","Olive-sided Flycatcher",0,0,0,0,"No audio quality issues",1,"ONE","Song",52.2,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/2/2019_05:00:00_ARU"
"48","CANOL_S1","CANOL","S","1","7/2/2019","05:00:00","SWTH","Catharus_ustulatus","Swainson's Thrush",0,0,0,0,"No audio quality issues",1,"ONE","Song",55.5,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/2/2019_05:00:00_ARU"
"49","CANOL_S1","CANOL","S","1","7/2/2019","05:00:00","WCSP","Zonotrichia_leucophrys","White-crowned Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",26.9,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/2/2019_05:00:00_ARU"
"50","CANOL_S1","CANOL","S","1","7/2/2019","05:00:00","WIWA","Cardellina_pusilla","Wilson's Warbler",0,0,0,0,"No audio quality issues",1,"ONE","Song",44.3,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/2/2019_05:00:00_ARU"
"51","CANOL_S1","CANOL","S","1","7/2/2019","05:00:00","YRWA","Setophaga_coronata","Yellow-rumped Warbler",0,0,0,0,"No audio quality issues",1,"ONE","Song",21.3,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/2/2019_05:00:00_ARU"
"52","CANOL_S1","CANOL","S","1","7/9/2019","03:45:00","DEJU","Junco_hyemalis","Dark-eyed Junco",0,0,0,0,"No audio quality issues",1,"ONE","Song",2.6,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/9/2019_03:45:00_ARU"
"53","CANOL_S1","CANOL","S","1","7/9/2019","03:45:00","DEJU","Junco_hyemalis","Dark-eyed Junco",0,0,0,0,"No audio quality issues",2,"ONE",NA,NA,"Song",53.6,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/9/2019_03:45:00_ARU"
"54","CANOL_S1","CANOL","S","1","7/9/2019","03:45:00","GCTH","Catharus_minimus","Gray-cheeked Thrush",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,NA,NA,"Song",42.2,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/9/2019_03:45:00_ARU"
"55","CANOL_S1","CANOL","S","1","7/9/2019","03:45:00","LISP","Melospiza_lincolnii","Lincoln's Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",14.1,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/9/2019_03:45:00_ARU"
"56","CANOL_S1","CANOL","S","1","7/9/2019","03:45:00","WCSP","Zonotrichia_leucophrys","White-crowned Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",5.5,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/9/2019_03:45:00_ARU"
"57","CANOL_S1","CANOL","S","1","7/10/2019","08:00:00","DEJU","Junco_hyemalis","Dark-eyed Junco",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,NA,NA,"Song",24.7,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/10/2019_08:00:00_ARU"
"58","CANOL_S1","CANOL","S","1","7/10/2019","08:00:00","DEJU","Junco_hyemalis","Dark-eyed Junco",0,0,0,0,"No audio quality issues",2,"ONE",NA,NA,NA,NA,"Call",29.7,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/10/2019_08:00:00_ARU"
"59","CANOL_S1","CANOL","S","1","7/10/2019","08:00:00","RCKI","Regulus_calendula","Ruby-crowned Kinglet",0,0,0,0,"No audio quality issues",1,"ONE","Song",14.2,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/10/2019_08:00:00_ARU"
"60","CANOL_S1","CANOL","S","1","7/11/2019","07:00:00","BOCH","Poecile_hudsonicus","Boreal Chickadee",0,0,0,0,"No audio quality issues",1,"ONE","Call",46.1,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/11/2019_07:00:00_ARU"
"61","CANOL_S1","CANOL","S","1","7/11/2019","07:00:00","DEJU","Junco_hyemalis","Dark-eyed Junco",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,"Call",41.1,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/11/2019_07:00:00_ARU"
"62","CANOL_S1","CANOL","S","1","7/11/2019","07:00:00","LISP","Melospiza_lincolnii","Lincoln's Sparrow",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,"Song",24.2,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/11/2019_07:00:00_ARU"
"63","CANOL_S1","CANOL","S","1","7/11/2019","07:00:00","RCKI","Regulus_calendula","Ruby-crowned Kinglet",0,0,0,0,"No audio quality issues",1,"ONE","Song",51.3,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/11/2019_07:00:00_ARU"
"64","CANOL_S1","CANOL","S","1","7/11/2019","07:00:00","YRWA","Setophaga_coronata","Yellow-rumped Warbler",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,"Call",18.6,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/11/2019_07:00:00_ARU"
"65","CANOL_S1","CANOL","S","1","7/30/2019","07:15:00","FOSP","Passerella_iliaca","Fox Sparrow",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,NA,NA,"Song",17.9,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/30/2019_07:15:00_ARU"
"66","CANOL_S1","CANOL","S","1","7/30/2019","07:15:00","PISI","Spinus_pinus","Pine Siskin",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,NA,NA,"Call",24.5,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/30/2019_07:15:00_ARU"
"67","CANOL_S1","CANOL","S","1","7/30/2019","07:15:00","WWCR","Loxia_leucoptera","White-winged Crossbill",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,"Call",18.2,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S1_7/30/2019_07:15:00_ARU"
"68","CANOL_S3","CANOL","S","3","7/1/2019","08:00:00","BLPW","Setophaga_striata","Blackpoll Warbler",0,0,0,0,"No audio quality issues",1,"ONE","Song",2.8,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S3_7/1/2019_08:00:00_ARU"
"69","CANOL_S3","CANOL","S","3","7/1/2019","08:00:00","DEJU","Junco_hyemalis","Dark-eyed Junco",0,0,0,0,"No audio quality issues",1,"ONE","Call",53.3,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S3_7/1/2019_08:00:00_ARU"
"70","CANOL_S3","CANOL","S","3","7/1/2019","08:00:00","GCTH","Catharus_minimus","Gray-cheeked Thrush",0,0,0,0,"No audio quality issues",1,"ONE","Song",2.4,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S3_7/1/2019_08:00:00_ARU"
"71","CANOL_S3","CANOL","S","3","7/1/2019","08:00:00","PIGR","Pinicola_enucleator","Pine Grosbeak",0,0,0,0,"No audio quality issues",1,"ONE","Song",17.8,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S3_7/1/2019_08:00:00_ARU"
"72","CANOL_S3","CANOL","S","3","7/1/2019","08:00:00","PISI","Spinus_pinus","Pine Siskin",0,0,0,0,"No audio quality issues",1,"ONE","Call",4.4,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S3_7/1/2019_08:00:00_ARU"
"73","CANOL_S3","CANOL","S","3","7/1/2019","08:00:00","PISI","Spinus_pinus","Pine Siskin",0,0,0,0,"No audio quality issues",2,"ONE",NA,NA,NA,NA,"Call",22.4,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S3_7/1/2019_08:00:00_ARU"
"74","CANOL_S3","CANOL","S","3","7/1/2019","08:00:00","RCKI","Regulus_calendula","Ruby-crowned Kinglet",0,0,0,0,"No audio quality issues",1,"ONE","Song",58.6,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S3_7/1/2019_08:00:00_ARU"
"75","CANOL_S3","CANOL","S","3","7/1/2019","08:00:00","TOWA","Setophaga_townsendi","Townsend's Warbler",0,0,0,0,"No audio quality issues",1,"ONE","Song",5.3,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S3_7/1/2019_08:00:00_ARU"
"76","CANOL_S3","CANOL","S","3","7/1/2019","08:00:00","YRWA","Setophaga_coronata","Yellow-rumped Warbler",0,0,0,0,"No audio quality issues",1,"ONE","Song",12.3,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S3_7/1/2019_08:00:00_ARU"
"77","CANOL_S3","CANOL","S","3","7/1/2019","08:00:00","YRWA","Setophaga_coronata","Yellow-rumped Warbler",0,0,0,0,"No audio quality issues",2,"ONE","Song",49.9,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S3_7/1/2019_08:00:00_ARU"
"78","CANOL_S3","CANOL","S","3","7/4/2019","07:45:00","BLPW","Setophaga_striata","Blackpoll Warbler",0,0,0,0,"No audio quality issues",1,"ONE","Song",20.5,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S3_7/4/2019_07:45:00_ARU"
"79","CANOL_S3","CANOL","S","3","7/4/2019","07:45:00","BLPW","Setophaga_striata","Blackpoll Warbler",0,0,0,0,"No audio quality issues",2,"ONE",NA,NA,"Song",33.9,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S3_7/4/2019_07:45:00_ARU"
"80","CANOL_S3","CANOL","S","3","7/4/2019","07:45:00","DEJU","Junco_hyemalis","Dark-eyed Junco",0,0,0,0,"No audio quality issues",1,"ONE",NA,NA,NA,NA,"Song",7,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_S3_7/4/2019_07:45:00_ARU"
